[2019-08-24 11:34:51,134 | INFO] Receiver thread now running
[2019-08-24 11:38:58,226 | INFO] ae
[2019-08-24 11:38:58,948 | INFO] 77
[2019-08-24 11:38:58,960 | INFO] d1
[2019-08-24 11:38:59,664 | INFO] 08
[2019-08-24 11:38:59,676 | INFO] ae
[2019-08-24 11:39:00,391 | INFO] 77
[2019-08-24 11:39:00,397 | INFO] d1
[2019-08-24 11:39:01,115 | INFO] 08
[2019-08-24 11:39:01,126 | INFO] ae
[2019-08-24 11:39:01,843 | INFO] 77
[2019-08-24 11:39:01,855 | INFO] d1
[2019-08-24 11:39:02,567 | INFO] 08
[2019-08-24 11:39:02,573 | INFO] ae
